,tailnum,manufacturer,model,seats
637,N295WN,BOEING,737-7H4,140
638,N296JB,EMBRAER,ERJ 190-100 IGW,20
639,N296PQ,BOMBARDIER INC,CL-600-2D24,95
640,N296WN,BOEING,737-7H4,140
641,N29717,BOEING,737-724,149
642,N297PQ,BOMBARDIER INC,CL-600-2D24,95
643,N297WN,BOEING,737-7H4,140
644,N298JB,EMBRAER,ERJ 190-100 IGW,20
645,N298PQ,BOMBARDIER INC,CL-600-2D24,95
646,N298WN,BOEING,737-7H4,140
647,N29906,EMBRAER,EMB-145LR,55
648,N29917,EMBRAER,EMB-145LR,55
649,N299AT,BOEING,737-76N,149
650,N299PQ,BOMBARDIER INC,CL-600-2D24,95
651,N299WN,BOEING,737-7H4,140
652,N301DQ,BOEING,737-732,149
653,N301NB,AIRBUS INDUSTRIE,A319-114,145
654,N302AS,BOEING,737-990,149
655,N302DQ,BOEING,737-732,149
656,N302NB,AIRBUS INDUSTRIE,A319-114,145
657,N303AS,BOEING,737-990,149
658,N303DQ,BOEING,737-732,149
659,N30401,BOEING,737-924,191
660,N304DQ,BOEING,737-732,149
661,N304JB,EMBRAER,ERJ 190-100 IGW,20
662,N305AS,BOEING,737-990,149
663,N305DQ,BOEING,737-732,149
664,N306AS,BOEING,737-990,149
665,N306DQ,BOEING,737-732,149
666,N306JB,EMBRAER,ERJ 190-100 IGW,20
667,N307AS,BOEING,737-990,149
668,N307DQ,BOEING,737-732,149
669,N307JB,EMBRAER,ERJ 190-100 IGW,20
670,N308DE,BOEING,737-732,149
671,N309AS,BOEING,737-990,149
672,N309AT,BOEING,737-7BD,149
673,N309DE,BOEING,737-732,149
674,N309JB,EMBRAER,ERJ 190-100 IGW,20
675,N309US,AIRBUS INDUSTRIE,A320-211,182
676,N310DE,BOEING,737-732,149
677,N310NW,AIRBUS INDUSTRIE,A320-211,182
678,N31131,EMBRAER,EMB-145XR,55
679,N311US,AIRBUS INDUSTRIE,A320-211,182
680,N312US,AIRBUS INDUSTRIE,A320-211,182
681,N313US,AIRBUS INDUSTRIE,A320-211,182
682,N31412,BOEING,737-924,191
683,N314NB,AIRBUS INDUSTRIE,A319-114,145
684,N314US,AIRBUS INDUSTRIE,A320-211,182
685,N315AS,BOEING,737-990,149
686,N315AT,JOHN G HESS,AT-5,2
687,N315NB,AIRBUS INDUSTRIE,A319-114,145
688,N315US,AIRBUS INDUSTRIE,A320-211,182
689,N316JB,EMBRAER,ERJ 190-100 IGW,20
690,N316NB,AIRBUS INDUSTRIE,A319-114,145
691,N316US,AIRBUS INDUSTRIE,A320-211,182
692,N317JB,EMBRAER,ERJ 190-100 IGW,20
693,N317NB,AIRBUS INDUSTRIE,A319-114,145
694,N317US,AIRBUS INDUSTRIE,A320-211,182
695,N317WN,BOEING,737-3Q8,149
696,N318AS,BOEING,737-990,149
697,N318JB,EMBRAER,ERJ 190-100 IGW,20
698,N318NB,AIRBUS INDUSTRIE,A319-114,145
699,N318US,AIRBUS INDUSTRIE,A320-211,182
700,N319AA,BOEING,767-223,255
701,N319AS,BOEING,737-990,149
702,N319NB,AIRBUS INDUSTRIE,A319-114,145
703,N319US,AIRBUS INDUSTRIE,A320-211,182
704,N320AA,BOEING,767-223,255
705,N320AS,BOEING,737-990,149
706,N320NB,AIRBUS INDUSTRIE,A319-114,145
707,N320US,AIRBUS INDUSTRIE,A320-211,182
708,N321NB,AIRBUS INDUSTRIE,A319-114,145
709,N321US,AIRBUS INDUSTRIE,A320-211,182
710,N322NB,AIRBUS INDUSTRIE,A319-114,145
711,N322US,AIRBUS INDUSTRIE,A320-211,182
712,N323AA,BOEING,767-223,255
713,N323AS,BOEING,737-990,149
714,N323JB,EMBRAER,ERJ 190-100 IGW,20
715,N323NB,AIRBUS INDUSTRIE,A319-114,145
716,N323US,AIRBUS INDUSTRIE,A320-211,182
717,N32404,BOEING,737-924,191
718,N324AA,BOEING,767-223,255
719,N324JB,EMBRAER,ERJ 190-100 IGW,20
720,N324NB,AIRBUS INDUSTRIE,A319-114,145
721,N324US,AIRBUS INDUSTRIE,A320-211,182
722,N325AA,BOEING,767-223,255
723,N325NB,AIRBUS INDUSTRIE,A319-114,145
724,N325US,AIRBUS INDUSTRIE,A320-211,182
725,N326AT,BOEING,737-7BD,149
726,N326NB,AIRBUS INDUSTRIE,A319-114,145
727,N326US,AIRBUS INDUSTRIE,A320-211,182
728,N327AA,BOEING,767-223,255
729,N327NB,AIRBUS INDUSTRIE,A319-114,145
730,N327NW,AIRBUS INDUSTRIE,A320-211,182
731,N328AA,BOEING,767-223,255
732,N328JB,EMBRAER,ERJ 190-100 IGW,20
733,N328NB,AIRBUS INDUSTRIE,A319-114,145
734,N328NW,AIRBUS INDUSTRIE,A320-211,182
735,N329AA,BOEING,767-223,255
736,N329JB,EMBRAER,ERJ 190-100 IGW,20
737,N329NB,AIRBUS INDUSTRIE,A319-114,145
738,N329NW,AIRBUS INDUSTRIE,A320-211,182
739,N330AT,BOEING,737-7BD,149
740,N330NB,AIRBUS INDUSTRIE,A319-114,145
741,N330NW,AIRBUS INDUSTRIE,A320-211,182
742,N33103,BOEING,757-224,178
743,N33132,BOEING,757-224,178
744,N33182,EMBRAER,EMB-145XR,55
745,N331NB,AIRBUS INDUSTRIE,A319-114,145
746,N331NW,AIRBUS INDUSTRIE,A320-211,182
747,N33203,BOEING,737-824,149
748,N33209,BOEING,737-824,149
749,N33262,BOEING,737-824,149
750,N33264,BOEING,737-824,149
751,N33266,BOEING,737-824,149
752,N33284,BOEING,737-824,149
753,N33286,BOEING,737-824,149
754,N33289,BOEING,737-824,149
755,N33292,BOEING,737-824,149
756,N33294,BOEING,737-824,149
757,N332AA,BOEING,767-223,255
758,N332NB,AIRBUS INDUSTRIE,A319-114,145
759,N332NW,AIRBUS INDUSTRIE,A320-211,182
760,N333NB,AIRBUS INDUSTRIE,A319-114,145
761,N333NW,AIRBUS INDUSTRIE,A320-211,182
762,N334JB,EMBRAER,ERJ 190-100 IGW,20
763,N334NB,AIRBUS INDUSTRIE,A319-114,145
764,N334NW,AIRBUS INDUSTRIE,A320-212,182
765,N335AA,BOEING,767-223,255
766,N335NB,AIRBUS INDUSTRIE,A319-114,145
767,N335NW,AIRBUS INDUSTRIE,A320-212,182
768,N336AA,BOEING,767-223,255
769,N336AT,BOEING,737-7BD,149
770,N336NB,AIRBUS INDUSTRIE,A319-114,145
771,N336NW,AIRBUS INDUSTRIE,A320-212,182
772,N33714,BOEING,737-724,149
773,N337JB,EMBRAER,ERJ 190-100 IGW,20
774,N337NB,AIRBUS INDUSTRIE,A319-114,145
775,N337NW,AIRBUS INDUSTRIE,A320-212,182
776,N338AA,BOEING,767-223,255
777,N338AT,BOEING,737-7BD,149
778,N338NB,AIRBUS,A319-114,145
779,N338NW,AIRBUS INDUSTRIE,A320-212,182
780,N339AA,BOEING,767-223,255
781,N339JB,EMBRAER,ERJ 190-100 IGW,20
782,N339NB,AIRBUS,A319-114,145
783,N339NW,AIRBUS INDUSTRIE,A320-212,182
784,N340LV,BOEING,737-3K2,149
785,N340NB,AIRBUS,A319-114,145
786,N340NW,AIRBUS INDUSTRIE,A320-212,182
787,N34110,EMBRAER,EMB-145XR,55
788,N34111,EMBRAER,EMB-145XR,55
789,N34131,BOEING,757-224,178
790,N34137,BOEING,757-224,178
791,N341NB,AIRBUS,A319-114,145
792,N341NW,AIRBUS INDUSTRIE,A320-212,182
793,N34222,BOEING,737-824,149
794,N34282,BOEING,737-824,149
795,N342NB,AIRBUS,A319-114,145
796,N342NW,AIRBUS INDUSTRIE,A320-212,182
797,N343NB,AIRBUS,A319-114,145
798,N343NW,AIRBUS INDUSTRIE,A320-212,182
799,N34455,BOEING,737-924ER,191
800,N34460,BOEING,737-924ER,191
801,N344AA,GULFSTREAM AEROSPACE,G-IV,22
802,N344NB,AIRBUS,A319-114,145
803,N344NW,AIRBUS INDUSTRIE,A320-212,182
804,N344SW,BOEING,737-3H4,149
805,N345NB,AIRBUS,A319-114,145
806,N345NW,AIRBUS INDUSTRIE,A320-212,182
807,N345SA,BOEING,737-3K2,149
808,N346JB,EMBRAER,ERJ 190-100 IGW,20
809,N346NB,AIRBUS,A319-114,145
810,N346SW,BOEING,737-3H4,149
811,N347AA,SIKORSKY,S-76A,14
812,N347NB,AIRBUS,A319-114,145
813,N347NW,AIRBUS INDUSTRIE,A320-212,182
814,N347SW,BOEING,737-3H4,149
815,N348JB,EMBRAER,ERJ 190-100 IGW,20
816,N348NB,AIRBUS,A319-114,145
817,N348NW,AIRBUS INDUSTRIE,A320-212,182
818,N349NB,AIRBUS,A319-114,145
819,N349NW,AIRBUS INDUSTRIE,A320-212,182
820,N349SW,BOEING,737-3H4,149
821,N350AA,PIPER,PA-31-350,8
822,N350NA,AIRBUS INDUSTRIE,A320-212,182
823,N350SW,BOEING,737-3H4,149
824,N351AA,BOEING,767-323,330
825,N351JB,EMBRAER,ERJ 190-100 IGW,20
826,N351NB,AIRBUS,A319-114,145
827,N351NW,AIRBUS INDUSTRIE,A320-212,182
828,N35204,BOEING,737-824,149
829,N35260,BOEING,737-824,149
830,N35271,BOEING,737-824,149
831,N352AA,BOEING,767-323,330
832,N352NB,AIRBUS,A319-114,145
833,N352NW,AIRBUS INDUSTRIE,A320-212,182
834,N352SW,BOEING,737-3H4,149
835,N353AA,BOEING,767-323,330
836,N353AT,BOEING,737-7BD,149
837,N353JB,EMBRAER,ERJ 190-100 IGW,20
838,N353NB,AIRBUS,A319-114,145
839,N353NW,AIRBUS INDUSTRIE,A320-212,182
840,N353SW,BOEING,737-3H4,149
841,N35407,BOEING,737-924,191
842,N354AA,BOEING,767-323,330
843,N354JB,EMBRAER,ERJ 190-100 IGW,20
844,N354NB,AIRBUS,A319-114,145
845,N354NW,AIRBUS INDUSTRIE,A320-212,182
846,N354SW,BOEING,737-3H4,149
847,N355AA,BOEING,767-323,330
848,N355JB,EMBRAER,ERJ 190-100 IGW,20
849,N355NB,AIRBUS,A319-114,145
850,N355NW,AIRBUS INDUSTRIE,A320-212,182
851,N355SW,BOEING,737-3H4,149
852,N356NW,AIRBUS INDUSTRIE,A320-212,182
853,N356SW,BOEING,737-3H4,149
854,N357AA,BOEING,767-323,330
855,N357NB,AIRBUS,A319-114,145
856,N357NW,AIRBUS INDUSTRIE,A320-212,182
857,N357SW,BOEING,737-3H4,149
858,N358AA,BOEING,767-323,330
859,N358JB,EMBRAER,ERJ 190-100 IGW,20
860,N358NB,AIRBUS,A319-114,145
861,N358NW,AIRBUS INDUSTRIE,A320-212,182
862,N358SW,BOEING,737-3H4,149
863,N359AA,BOEING,767-323,330
864,N359NB,AIRBUS,A319-114,145
865,N359NW,AIRBUS INDUSTRIE,A320-212,182
866,N359SW,BOEING,737-3H4,149
867,N360AA,BOEING,767-323,330
868,N360NB,AIRBUS,A319-114,145
869,N360NW,AIRBUS INDUSTRIE,A320-212,182
870,N360SW,BOEING,737-3H4,149
871,N361AA,BOEING,767-323,330
872,N361NB,AIRBUS,A319-114,145
873,N361NW,AIRBUS INDUSTRIE,A320-212,182
874,N361SW,BOEING,737-3H4,149
875,N361VA,AIRBUS,A320-214,182
876,N36207,BOEING,737-824,149
877,N36247,BOEING,737-824,149
878,N36272,BOEING,737-824,149
879,N36280,BOEING,737-824,149
880,N362AA,BOEING,767-323,330
881,N362NB,AIRBUS,A319-114,145
882,N362NW,AIRBUS INDUSTRIE,A320-212,182
883,N362SW,BOEING,737-3H4,149
884,N363AA,BOEING,767-323,330
885,N363NB,AIRBUS,A319-114,145
886,N363NW,AIRBUS INDUSTRIE,A320-212,182
887,N363SW,BOEING,737-3H4,149
888,N36444,BOEING,737-924ER,191
889,N36447,BOEING,737-924ER,191
890,N36469,BOEING,737-924ER,191
891,N36472,BOEING,737-924ER,191
892,N36476,BOEING,737-924ER,191
893,N364AA,CESSNA,310Q,6
894,N364NB,AIRBUS,A319-114,145
895,N364NW,AIRBUS INDUSTRIE,A320-212,182
896,N364SW,BOEING,737-3H4,149
897,N365AA,AGUSTA SPA,A109E,8
898,N365NB,AIRBUS,A319-114,145
899,N365NW,AIRBUS INDUSTRIE,A320-212,182
900,N365SW,BOEING,737-3H4,149
901,N366AA,BOEING,767-323,330
902,N366NB,AIRBUS,A319-114,145
903,N366NW,AIRBUS INDUSTRIE,A320-212,182
904,N366SW,BOEING,737-3H4,149
905,N367NW,AIRBUS INDUSTRIE,A320-212,182
906,N367SW,BOEING,737-3H4,149
907,N368AA,BOEING,767-323,330
908,N368JB,EMBRAER,ERJ 190-100 IGW,20
909,N368NB,AIRBUS,A319-114,145
910,N368NW,AIRBUS INDUSTRIE,A320-212,182
911,N368SW,BOEING,737-3H4,149
912,N36915,EMBRAER,EMB-145LR,55
913,N369AA,BOEING,767-323,330
914,N369NB,AIRBUS,A319-114,145
915,N369NW,AIRBUS INDUSTRIE,A320-212,182
916,N369SW,BOEING,737-3H4,149
917,N370AA,BOEING,767-323,330
918,N370NB,AIRBUS,A319-114,145
919,N370NW,AIRBUS INDUSTRIE,A320-212,182
920,N370SW,BOEING,737-3H4,149
921,N371AA,BOEING,767-323,330
922,N371CA,BOMBARDIER INC,CL-600-2C10,80
923,N371DA,BOEING,737-832,189
924,N371NB,AIRBUS,A319-114,145
925,N371NW,AIRBUS INDUSTRIE,A320-212,182
926,N371SW,BOEING,737-3H4,149
927,N37252,BOEING,737-824,149
928,N37253,BOEING,737-824,149
929,N37255,BOEING,737-824,149
930,N37263,BOEING,737-824,149
931,N37267,BOEING,737-824,149
932,N37273,BOEING,737-824,149
933,N37274,BOEING,737-824,149
934,N37277,BOEING,737-824,149
935,N37281,BOEING,737-824,149
936,N37287,BOEING,737-824,149
937,N37290,BOEING,737-824,149
938,N37293,BOEING,737-824,149
939,N37298,BOEING,737-824,149
940,N372AA,BOEING,767-323,330
941,N372DA,BOEING,737-832,189
942,N372NW,AIRBUS INDUSTRIE,A320-212,182
943,N372SW,BOEING,737-3H4,149
944,N3730B,BOEING,737-832,189
945,N3731T,BOEING,737-832,189
946,N3732J,BOEING,737-832,189
947,N3733Z,BOEING,737-832,189
948,N3734B,BOEING,737-832,189
949,N3735D,BOEING,737-832,189
950,N3736C,BOEING,737-832,189
951,N3737C,BOEING,737-832,189
952,N3738B,BOEING,737-832,189
953,N3739P,BOEING,737-832,189
954,N373AA,BOEING,767-323,330
955,N373DA,BOEING,737-832,189
956,N373JB,EMBRAER,ERJ 190-100 IGW,20
957,N373NW,AIRBUS INDUSTRIE,A320-212,182
958,N373SW,BOEING,737-3H4,149
959,N37408,BOEING,737-924,191
960,N37409,BOEING,737-924,191
961,N3740C,BOEING,737-832,189
962,N37413,BOEING,737-924ER,191
963,N37419,BOEING,737-924ER,191
964,N3741S,BOEING,737-832,189
965,N37420,BOEING,737-924ER,191
966,N37422,BOEING,737-924ER,191
967,N37427,BOEING,737-924ER,191
968,N3742C,BOEING,737-832,189
969,N37434,BOEING,737-924ER,191
970,N37437,BOEING,737-924ER,191
971,N3743H,BOEING,737-832,189
972,N3744F,BOEING,737-832,189
973,N37456,BOEING,737-924ER,191
974,N3745B,BOEING,737-832,189
975,N37462,BOEING,737-924ER,191
976,N37464,BOEING,737-924ER,191
977,N37465,BOEING,737-924ER,191
978,N37466,BOEING,737-924ER,191
979,N37468,BOEING,737-924ER,191
980,N3746H,BOEING,737-832,189
981,N37470,BOEING,737-924ER,191
982,N37471,BOEING,737-924ER,191
983,N37474,BOEING,737-924ER,191
984,N3747D,BOEING,737-832,189
985,N3748Y,BOEING,737-832,189
986,N3749D,BOEING,737-832,189
987,N374AA,BOEING,767-323,330
988,N374DA,BOEING,737-832,189
989,N374JB,EMBRAER,ERJ 190-100 IGW,20
990,N374NW,AIRBUS INDUSTRIE,A320-212,182
991,N374SW,BOEING,737-3H4,149
992,N3750D,BOEING,737-832,189
993,N3751B,BOEING,737-832,189
994,N3752,BOEING,737-832,189
995,N3753,BOEING,737-832,189
996,N3754A,BOEING,737-832,189
997,N3755D,BOEING,737-832,189
998,N3756,BOEING,737-832,189
999,N3757D,BOEING,737-832,189
1000,N3758Y,BOEING,737-832,189
1001,N3759,BOEING,737-832,189
1002,N375DA,BOEING,737-832,189
1003,N375JB,EMBRAER,ERJ 190-100 IGW,20
1004,N375NC,AIRBUS,A320-212,182
1005,N375SW,BOEING,737-3H4,149
1006,N3760C,BOEING,737-832,189
1007,N3761R,BOEING,737-832,189
1008,N3762Y,BOEING,737-832,189
1009,N3763D,BOEING,737-832,189
1010,N3764D,BOEING,737-832,189
1011,N3765,BOEING,737-832,189
1012,N3766,BOEING,737-832,189
1013,N3767,BOEING,737-832,189
1014,N3768,BOEING,737-832,189
1015,N3769L,BOEING,737-832,189
1016,N376AA,PIPER,PA-32RT-300,7
1017,N376DA,BOEING,737-832,189
1018,N376NW,AIRBUS,A320-212,182
1019,N376SW,BOEING,737-3H4,149
1020,N37700,BOEING,737-832,189
1021,N3771K,BOEING,737-832,189
1022,N3772H,BOEING,737-832,189
1023,N3773D,BOEING,737-832,189
1024,N377AA,PAIR MIKE E,FALCON XP,2
1025,N377DA,BOEING,737-832,189
1026,N377NW,AIRBUS,A320-211,182
1027,N378AA,CESSNA,172E,4
1028,N378DA,BOEING,737-832,189
1029,N378NW,AIRBUS,A320-211,182
1030,N378SW,BOEING,737-3H4,149
1031,N379AA,BOEING,767-323,330
1032,N379DA,BOEING,737-832,189
1033,N379SW,BOEING,737-3H4,149
1034,N380DA,BOEING,737-832,189
1035,N380HA,AIRBUS,A330-243,377
1036,N380SW,BOEING,737-3H4,149
1037,N381AA,DOUGLAS,DC-7BF,102
1038,N381DN,BOEING,737-832,189
1039,N381HA,AIRBUS,A330-243,377
1040,N38257,BOEING,737-824,149
1041,N38268,BOEING,737-824,149
1042,N382DA,BOEING,737-832,189
1043,N382HA,AIRBUS,A330-243,377
1044,N382SW,BOEING,737-3H4,149
1045,N383AA,BEECH,E-90,10
1046,N383DN,BOEING,737-832,189
1047,N383HA,AIRBUS,A330-243,377
1048,N383SW,BOEING,737-3H4,149
1049,N38403,BOEING,737-924,191
1050,N38417,BOEING,737-924ER,191
1051,N38424,BOEING,737-924ER,191
1052,N38443,BOEING,737-924ER,191
1053,N38446,BOEING,737-924ER,191
1054,N38451,BOEING,737-924ER,191
1055,N38454,BOEING,737-924ER,191
1056,N38458,BOEING,737-924ER,191
1057,N38459,BOEING,737-924ER,191
1058,N38467,BOEING,737-924ER,191
1059,N38473,BOEING,737-924ER,191
1060,N384AA,BOEING,767-323,330
1061,N384DA,BOEING,737-832,189
1062,N384HA,AIRBUS,A330-243,377
1063,N384SW,BOEING,737-3H4,149
1064,N385DN,BOEING,737-832,189
1065,N385HA,AIRBUS,A330-243,377
1066,N386AA,BOEING,767-323,330
1067,N386DA,BOEING,737-832,189
1068,N386HA,AIRBUS,A330-243,377
1069,N386SW,BOEING,737-3H4,149
1070,N38727,BOEING,737-724,149
1071,N387DA,BOEING,737-832,189
1072,N387SW,BOEING,737-3H4,149
1073,N388AA,BOEING,767-323,330
1074,N388DA,BOEING,737-832,189
1075,N388HA,AIRBUS,A330-243,377
1076,N388SW,BOEING,737-3H4,149
1077,N389AA,BOEING,767-323,330
1078,N389DA,BOEING,737-832,189
1079,N389HA,AIRBUS,A330-243,377
1080,N389SW,BOEING,737-3H4,149
1081,N390AA,BOEING,767-323,330
1082,N390DA,BOEING,737-832,189
1083,N390HA,AIRBUS,A330-243,377
1084,N390SW,BOEING,737-3H4,149
1085,N391AA,BOEING,767-323,330
1086,N391CA,BOMBARDIER INC,CL-600-2C10,80
1087,N391DA,BOEING,737-832,189
1088,N391HA,AIRBUS,A330-243,377
1089,N391SW,BOEING,737-3H4,149
1090,N39297,BOEING,737-824,149
1091,N392DA,BOEING,737-832,189
1092,N392HA,AIRBUS,A330-243,377
1093,N392SW,BOEING,737-3H4,149
1094,N393AA,BELL,230,11
1095,N393DA,BOEING,737-832,189
1096,N393HA,AIRBUS,A330-243,377
1097,N39415,BOEING,737-924ER,191
1098,N39416,BOEING,737-924ER,191
1099,N39418,BOEING,737-924ER,191
1100,N39423,BOEING,737-924ER,191
1101,N39450,BOEING,737-924ER,191
1102,N39461,BOEING,737-924ER,191
1103,N39463,BOEING,737-924ER,191
1104,N39475,BOEING,737-924ER,191
1105,N394AA,AVIAT AIRCRAFT INC,A-1B,2
1106,N394DA,BOEING,737-832,189
1107,N394DL,BOEING,767-324,269
1108,N394SW,BOEING,737-3H4,149
1109,N395DN,BOEING,737-832,189
1110,N395HA,AIRBUS,A330-243,377
1111,N395SW,BOEING,737-3H4,149
1112,N396DA,BOEING,737-832,189
1113,N396SW,BOEING,737-3H4,149
1114,N39726,BOEING,737-724,149
1115,N39728,BOEING,737-724,149
1116,N397AA,STEWART MACO,FALCON XP,2
1117,N397DA,BOEING,737-832,189
1118,N397SW,BOEING,737-3H4,149
1119,N398AA,LEARJET INC,60,11
1120,N398CA,BOMBARDIER INC,CL-600-2C10,80
1121,N398DA,BOEING,737-832,189
1122,N398SW,BOEING,737-3H4,149
1123,N399DA,BOEING,737-832,189
1124,N399WN,BOEING,737-3H4,149
1125,N400WN,BOEING,737-7H4,140
1126,N401UA,AIRBUS INDUSTRIE,A320-232,200
1127,N401WN,BOEING,737-7H4,140
1128,N402AS,BOEING,737-990ER,222
1129,N402UA,AIRBUS INDUSTRIE,A320-232,200
1130,N402WN,BOEING,737-7H4,140
1131,N403AS,BOEING,737-990ER,222
1132,N403UA,AIRBUS INDUSTRIE,A320-232,200
1133,N403WN,BOEING,737-7H4,140
1134,N404UA,AIRBUS INDUSTRIE,A320-232,200
1135,N404WN,BOEING,737-7H4,140
1136,N405UA,AIRBUS INDUSTRIE,A320-232,200
1137,N405WN,BOEING,737-7H4,140
1138,N406UA,AIRBUS INDUSTRIE,A320-232,200
1139,N406US,BOEING,737-401,149
1140,N406WN,BOEING,737-7H4,140
1141,N407AS,BOEING,737-990ER,222
1142,N407UA,AIRBUS INDUSTRIE,A320-232,200
1143,N407WN,BOEING,737-7H4,140
1144,N408AS,BOEING,737-990ER,222
1145,N408UA,AIRBUS INDUSTRIE,A320-232,200
1146,N408WN,BOEING,737-7H4,140
1147,N409AS,BOEING,737-990ER,222
1148,N409UA,AIRBUS INDUSTRIE,A320-232,200
1149,N409US,BOEING,737-401,149
1150,N409WN,BOEING,737-7H4,140
1151,N410UA,AIRBUS INDUSTRIE,A320-232,200
1152,N410WN,BOEING,737-7H4,140
1153,N41104,EMBRAER,EMB-145XR,55
1154,N41135,BOEING,757-224,178
1155,N41140,BOEING,757-224,178
1156,N411UA,AIRBUS INDUSTRIE,A320-232,200
1157,N411WN,BOEING,737-7H4,140
1158,N412UA,AIRBUS INDUSTRIE,A320-232,200
1159,N412WN,BOEING,737-7H4,140
1160,N413AS,BOEING,737-990ER,222
1161,N413UA,AIRBUS INDUSTRIE,A320-232,200
1162,N413WN,BOEING,737-7H4,140
1163,N414UA,AIRBUS INDUSTRIE,A320-232,200
1164,N414WN,BOEING,737-7H4,140
1165,N415UA,AIRBUS INDUSTRIE,A320-232,200
1166,N415WN,BOEING,737-7H4,140
1167,N416UA,AIRBUS INDUSTRIE,A320-232,200
1168,N416WN,BOEING,737-7H4,140
1169,N417UA,AIRBUS INDUSTRIE,A320-232,200
1170,N417WN,BOEING,737-7H4,140
1171,N418UA,AIRBUS INDUSTRIE,A320-232,200
1172,N418WN,BOEING,737-7H4,140
1173,N419AS,BOEING,737-990ER,222
1174,N419UA,AIRBUS INDUSTRIE,A320-232,200
1175,N419US,BOEING,737-401,149
1176,N419WN,BOEING,737-7H4,140
1177,N420UA,AIRBUS INDUSTRIE,A320-232,200
1178,N420US,BOEING,737-401,149
1179,N420WN,BOEING,737-7H4,140
1180,N421LV,BOEING,737-7H4,140
1181,N421UA,AIRBUS INDUSTRIE,A320-232,200
1182,N422UA,AIRBUS INDUSTRIE,A320-232,200
1183,N422WN,BOEING,737-7H4,140
1184,N423AS,BOEING,737-990ER,222
1185,N423UA,AIRBUS INDUSTRIE,A320-232,200
1186,N423WN,BOEING,737-7H4,140
1187,N424AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1188,N424UA,AIRBUS INDUSTRIE,A320-232,200
1189,N424WN,BOEING,737-7H4,140
1190,N425AA,PIPER,PA-28-180,4
1191,N425LV,BOEING,737-7H4,140
1192,N425UA,AIRBUS INDUSTRIE,A320-232,200
1193,N426AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1194,N426UA,AIRBUS INDUSTRIE,A320-232,200
1195,N426WN,BOEING,737-7H4,140
1196,N427SW,BOMBARDIER INC,CL-600-2B19,55
1197,N427UA,AIRBUS INDUSTRIE,A320-232,200
1198,N427US,BOEING,737-4B7,149
1199,N427WN,BOEING,737-7H4,140
1200,N428UA,AIRBUS INDUSTRIE,A320-232,200
1201,N428WN,BOEING,737-7H4,140
1202,N429UA,AIRBUS INDUSTRIE,A320-232,200
1203,N429WN,BOEING,737-7H4,140
1204,N430UA,AIRBUS INDUSTRIE,A320-232,200
1205,N430US,BOEING,737-4B7,149
1206,N430WN,BOEING,737-7H4,140
1207,N431AS,BOEING,737-990ER,222
1208,N431UA,AIRBUS INDUSTRIE,A320-232,200
1209,N431WN,BOEING,737-7H4,140
1210,N432UA,AIRBUS INDUSTRIE,A320-232,200
1211,N432US,BOEING,737-4B7,149
1212,N432WN,BOEING,737-7H4,140
1213,N433AA,MCDONNELL DOUGLAS,DC-9-83(MD-83),172
1214,N433AS,BOEING,737-990ER,222
1215,N433LV,BOEING,737-7H4,140
1216,N433UA,AIRBUS INDUSTRIE,A320-232,200
1217,N433US,BOEING,737-4B7,149
1218,N434AA,MCDONNELL DOUGLAS,DC-9-83(MD-83),172
1219,N434UA,AIRBUS INDUSTRIE,A320-232,200
1220,N434US,BOEING,737-4B7,149
1221,N434WN,BOEING,737-7H4,140
1222,N435AA,MCDONNELL DOUGLAS,DC-9-83(MD-83),172
1223,N435AS,BOEING,737-990ER,222
1224,N435UA,AIRBUS INDUSTRIE,A320-232,200
1225,N435US,BOEING,737-4B7,149
1226,N435WN,BOEING,737-7H4,140
1227,N436AA,MCDONNELL DOUGLAS,DC-9-83(MD-83),172
1228,N436UA,AIRBUS INDUSTRIE,A320-232,200
1229,N436WN,BOEING,737-7H4,140
1230,N437AA,MCDONNELL DOUGLAS,DC-9-83(MD-83),172
1231,N437UA,AIRBUS INDUSTRIE,A320-232,200
1232,N437WN,BOEING,737-7H4,140
1233,N438AA,MCDONNELL DOUGLAS,DC-9-83(MD-83),172
1234,N438UA,AIRBUS INDUSTRIE,A320-232,200
1235,N438US,BOEING,737-4B7,149
1236,N438WN,BOEING,737-7H4,140
1237,N439AA,MCDONNELL DOUGLAS,DC-9-83(MD-83),172
1238,N439UA,AIRBUS INDUSTRIE,A320-232,200
1239,N439US,BOEING,737-4B7,149
1240,N439WN,BOEING,737-7H4,140
1241,N440AS,BOEING,737-990ER,222
1242,N440LV,BOEING,737-7H4,140
1243,N440UA,AIRBUS INDUSTRIE,A320-232,200
1244,N440US,BOEING,737-4B7,149
1245,N441UA,AIRBUS INDUSTRIE,A320-232,200
1246,N441US,BOEING,737-4B7,149
1247,N441WN,BOEING,737-7H4,140
1248,N442AS,BOEING,737-990ER,222
1249,N442UA,AIRBUS INDUSTRIE,A320-232,200
1250,N442WN,BOEING,737-7H4,140
1251,N443UA,AIRBUS INDUSTRIE,A320-232,200
1252,N443US,BOEING,737-4B7,149
1253,N443WN,BOEING,737-7H4,140
1254,N444UA,AIRBUS INDUSTRIE,A320-232,200
1255,N444US,BOEING,737-4B7,149
1256,N444WN,BOEING,737-7H4,140
1257,N445UA,AIRBUS INDUSTRIE,A320-232,200
